1	1
2	3
3	9
5	3
6	34
7	20
15	22
17	1
18	9
19	3
20	7
21	5
23	4
24	33
25	4
27	22
28	35
49	2
51	1
54	1
58	21
59	30
60	85
61	119
62	190
63	172
64	28
65	49
66	85
67	131
68	203
69	172
70	44
71	111
72	148
73	214
74	190
75	24
76	45
77	126
78	164
79	225
80	226
81	56
82	103
83	151
84	247
85	240
86	16
87	38
88	93
89	142
90	209
91	173
92	13
93	46
94	96
95	147
96	226
97	215
99	1
102	13
103	4
104	10
105	25
106	28
107	3
108	7
109	5
110	6
111	21
113	7
114	6
115	1
118	6
120	1
121	7
122	6
123	2
124	1
125	10
126	9
127	14
128	37
129	62
130	26
131	3
132	1
133	2
134	32
135	28
136	73
137	142
138	94
139	31
140	81
141	152
142	110
143	27
144	80
145	153
146	101
147	9
148	19
149	40
150	2
151	13
152	33
153	93
154	90
160	3
161	2
162	1
163	3
164	2
165	19
166	3
167	28
168	40
169	35
170	45
171	8
172	14
173	35
174	50
175	43
176	96
179	2
184	3
185	3
186	1
187	3
188	5
189	1
190	1
191	4
192	1
193	13
194	5
195	8
196	10
197	19
198	16
199	16
207	1
208	3
209	6
210	4
211	20
212	1
213	1
214	1
215	4
216	2
217	15
218	2
219	4
220	1
221	7
222	9
223	9
230	11
231	43
232	81
233	124
234	160
240	5
241	9
242	6
243	36
244	22
245	8
246	51
247	61
248	75
249	60
250	1
251	3
252	4
253	3
254	4
255	16
256	2
257	4
258	31
259	40
260	39
261	13
262	15
263	6
264	28
265	55
266	63
267	75
268	1
269	2
270	5
271	5
272	9
273	29
274	13
275	16
276	117
277	76
278	119
279	109
280	13
281	12
282	25
283	80
284	94
285	154
288	1
292	1
293	4
294	3
295	2
296	6
297	16
301	1
303	3
307	1
309	2
316	1
317	3
318	3
319	3
320	6
321	16
325	1
326	1
327	7
333	2
340	1
341	3
342	3
343	1
344	1
345	3
351	3
355	2
357	2
364	1
365	2
366	2
367	1
368	1
369	3
375	3
388	1
389	2
390	2
391	5
392	1
393	3
397	1
398	1
399	11
403	1
405	2
412	1
413	2
414	4
415	7
416	5
417	16
421	1
422	2
423	9
427	1
429	2
437	1
438	2
439	2
440	2
441	2
442	3
446	1
447	1
448	5
452	1
454	2
461	1
462	2
463	26
464	23
465	25
466	14
